,Area,Item,Element,Year,Unit,Value
816948,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1990,Gigagrams,6970622.3607
816949,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1991,Gigagrams,6944881.1785
816950,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1992,Gigagrams,6978786.952
816951,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1993,Gigagrams,7122402.1533
816952,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1994,Gigagrams,7261233.9202
816953,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1995,Gigagrams,7297443.2364
816954,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1996,Gigagrams,7477457.8298
816955,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1997,Gigagrams,7654289.628
816956,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1998,Gigagrams,7753807.6529
816957,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),1999,Gigagrams,7729551.8487
816958,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2000,Gigagrams,7973073.2326
816959,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2001,Gigagrams,7894379.5028
816960,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2002,Gigagrams,7964285.3323
816961,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2003,Gigagrams,8082277.0935
816962,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2004,Gigagrams,8145386.8153
816963,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2005,Gigagrams,8156015.2785
816964,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2006,Gigagrams,8151144.5546
816965,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2007,Gigagrams,8326777.4463
816966,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2008,Gigagrams,8114799.1492
816967,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2009,Gigagrams,7550944.5919
816968,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq),2010,Gigagrams,7906994.405
816969,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1990,Gigagrams,6362730.5226
816970,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1991,Gigagrams,6350653.0372
816971,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1992,Gigagrams,6383729.3034
816972,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1993,Gigagrams,6536935.1206
816973,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1994,Gigagrams,6675835.49
816974,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1995,Gigagrams,6700072.6653
816975,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1996,Gigagrams,6859027.4945
816976,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1997,Gigagrams,7026755.1929
816977,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1998,Gigagrams,7135712.9372
816978,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,1999,Gigagrams,7120647.3912
816979,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2000,Gigagrams,7340614.1712
816980,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2001,Gigagrams,7254217.1532
816981,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2002,Gigagrams,7330509.1801
816982,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2003,Gigagrams,7456634.2712
816983,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2004,Gigagrams,7529497.6978
816984,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2005,Gigagrams,7556232.6653
816985,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2006,Gigagrams,7550644.8734
816986,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2007,Gigagrams,7724458.4787
816987,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2008,Gigagrams,7516125.0829
816988,OECD,"Energy (energy, manufacturing and construction industries and fugitive emissions)",Emissions (CO2eq) from CO2,2009,Gigagrams,6963620.2585
