,,Value,Symbol
SDG 6.4.2. Water Stress,Afghanistan,54.7570194384,E
SDG 6.4.2. Water Stress,Albania,6.5564903846,E
SDG 6.4.2. Water Stress,Algeria,137.9203602082,E
SDG 6.4.2. Water Stress,Angola,1.8718832891,E
SDG 6.4.2. Water Stress,Antigua and Barbuda,8.4615384615,I
SDG 6.4.2. Water Stress,Argentina,10.4566640772,E
SDG 6.4.1. Industrial Water Use Efficiency,Argentina,32.6395950352,E
SDG 6.4.1. Services Water Use Efficiency,Argentina,65.0549562883,E
SDG 6.4.2. Water Stress,Armenia,57.7970546702,E
SDG 6.4.2. Water Stress,Australia,4.274491355,E
SDG 6.4.2. Water Stress,Austria,9.6435479414,E
SDG 6.4.2. Water Stress,Azerbaijan,53.0072863767,E
SDG 6.4.2. Water Stress,Bahrain,133.7068965517,I
SDG 6.4.2. Water Stress,Bangladesh,5.7233394816,E
SDG 6.4.2. Water Stress,Barbados,87.5,I
Environmental Flow Requirements,Belarus,27.56,X
SDG 6.4.2. Water Stress,Belarus,4.6044825313,E
SDG 6.4.1. Water Use Efficiency,Belarus,32.027394763,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Belarus,0.0658847843,E
SDG 6.4.1. Industrial Water Use Efficiency,Belarus,35.1418820482,E
SDG 6.4.1. Services Water Use Efficiency,Belarus,55.7285284788,E
SDG 6.4.2. Water Stress,Belgium,49.0663390663,E
SDG 6.4.2. Water Stress,Belize,1.2602944847,E
SDG 6.4.2. Water Stress,Benin,0.975243811,E
SDG 6.4.2. Water Stress,Bhutan,1.4138075314,E
SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),1.1770011274,E
SDG 6.4.2. Water Stress,Bosnia and Herzegovina,2.6620185923,E
SDG 6.4.2. Water Stress,Botswana,2.0181951271,E
SDG 6.4.2. Water Stress,Brazil,3.1054373522,E
SDG 6.4.2. Water Stress,Brunei Darussalam,3.4664657121,E
SDG 6.4.1. Services Water Use Efficiency,Brunei Darussalam,35.2647291872,E
SDG 6.4.2. Water Stress,Bulgaria,41.8212728213,E
SDG 6.4.2. Water Stress,Burundi,10.19286754,E
SDG 6.4.2. Water Stress,Cabo Verde,8.4333333333,E
SDG 6.4.2. Water Stress,Cambodia,1.0365448505,E
Environmental Flow Requirements,Cameroon,213.4,X
SDG 6.4.2. Water Stress,Cameroon,1.5604301075,E
SDG 6.4.2. Water Stress,Canada,3.666323378,E
SDG 6.4.2. Water Stress,Central African Republic,0.3356481481,E
SDG 6.4.2. Water Stress,Chad,4.294921875,E
SDG 6.4.1. Water Use Efficiency,Chad,8.359339149,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Chad,0.0396892593,E
SDG 6.4.1. Industrial Water Use Efficiency,Chad,21.4151002615,E
SDG 6.4.1. Services Water Use Efficiency,Chad,49.2328804069,E
SDG 6.4.2. Water Stress,Chile,21.6192604632,E
SDG 6.4.2. Water Stress,China,43.2216882605,E
SDG 6.4.1. Industrial Water Use Efficiency,China,38.8823119366,E
SDG 6.4.1. Services Water Use Efficiency,China,82.7769787603,E
SDG 6.4.2. Water Stress,Comoros,0.8333333333,I
SDG 6.4.2. Water Stress,Congo,0.0274463007,E
SDG 6.4.2. Water Stress,Croatia,1.4959982214,E
SDG 6.4.2. Water Stress,Cuba,23.9394460692,E
SDG 6.4.2. Water Stress,Cyprus,29.5243302351,E
SDG 6.4.2. Water Stress,Czechia,24.7871046229,E
SDG 6.4.2. Water Stress,Côte d’Ivoire,5.0875656743,E
SDG 6.4.2. Water Stress,Democratic People's Republic of Korea,27.7404677988,E
SDG 6.4.2. Water Stress,Democratic Republic of the Congo,0.2268835048,E
SDG 6.4.1. Water Use Efficiency,Democratic Republic of the Congo,44.6133404193,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Democratic Republic of the Congo,0.199548416,E
SDG 6.4.1. Industrial Water Use Efficiency,Democratic Republic of the Congo,104.2548819544,E
SDG 6.4.1. Services Water Use Efficiency,Democratic Republic of the Congo,32.6494198938,E
SDG 6.4.2. Water Stress,Djibouti,6.3333333333,I
SDG 6.4.2. Water Stress,Dominica,10.0,I
SDG 6.4.2. Water Stress,Ecuador,6.7823529412,E
SDG 6.4.1. Water Use Efficiency,Egypt,4.3793207123,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Egypt,0.646655587,E
SDG 6.4.1. Industrial Water Use Efficiency,Egypt,20.141636108,E
SDG 6.4.1. Services Water Use Efficiency,Egypt,17.7637395308,E
SDG 6.4.2. Water Stress,El Salvador,13.2127261385,E
SDG 6.4.2. Water Stress,Equatorial Guinea,0.1835032437,E
SDG 6.4.2. Water Stress,Eritrea,11.1751152074,E
SDG 6.4.2. Water Stress,Eswatini,77.559912854,E
SDG 6.4.2. Water Stress,Ethiopia,32.2571865443,E
SDG 6.4.2. Water Stress,Fiji,0.2973730298,I
SDG 6.4.2. Water Stress,France,23.6426507923,E
SDG 6.4.2. Water Stress,Gabon,0.502166065,E
SDG 6.4.2. Water Stress,Gambia,2.2096563723,E
SDG 6.4.2. Water Stress,Germany,33.5019188596,E
SDG 6.4.2. Water Stress,Ghana,6.3147340889,E
SDG 6.4.2. Water Stress,Grenada,7.05,I
Environmental Flow Requirements,Guatemala,70.02,X
SDG 6.4.2. Water Stress,Guatemala,5.7420970807,E
Environmental Flow Requirements,Guinea,161.0,X
SDG 6.4.2. Water Stress,Guinea,1.3318343195,E
SDG 6.4.2. Water Stress,Guinea-Bissau,1.4957264957,E
SDG 6.4.2. Water Stress,Guyana,3.2984018265,E
SDG 6.4.2. Water Stress,Haiti,13.3837917667,E
SDG 6.4.1. Water Use Efficiency,Haiti,4.8938857936,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Haiti,0.2042398556,E
SDG 6.4.1. Industrial Water Use Efficiency,Haiti,51.5187443226,E
SDG 6.4.1. Services Water Use Efficiency,Haiti,22.2197497624,E
SDG 6.4.2. Water Stress,Honduras,4.621268764,E
SDG 6.4.2. Water Stress,Hungary,7.7702936097,E
SDG 6.4.2. Water Stress,Iceland,0.394075282,E
Environmental Flow Requirements,India,937.1,X
SDG 6.4.2. Water Stress,India,66.4920928322,E
SDG 6.4.2. Water Stress,Indonesia,29.6965452848,E
SDG 6.4.2. Water Stress,Iran (Islamic Republic of),81.2890812891,E
SDG 6.4.1. Industrial Water Use Efficiency,Iran (Islamic Republic of),129.2750653299,E
SDG 6.4.1. Services Water Use Efficiency,Iran (Islamic Republic of),43.7083114334,E
SDG 6.4.2. Water Stress,Ireland,6.5089295263,E
SDG 6.4.2. Water Stress,Israel,103.6148736088,E
SDG 6.4.2. Water Stress,Italy,29.9988545246,E
SDG 6.4.2. Water Stress,Jamaica,12.4734362007,I
Environmental Flow Requirements,Japan,212.5,X
SDG 6.4.2. Water Stress,Japan,36.4597701149,E
SDG 6.4.2. Water Stress,Jordan,100.0775279654,E
SDG 6.4.2. Water Stress,Kazakhstan,31.1373092926,E
SDG 6.4.2. Water Stress,Kenya,33.2399010717,E
SDG 6.4.2. Water Stress,Kuwait,3850.5,E
SDG 6.4.2. Water Stress,Kyrgyzstan,50.0389559797,E
SDG 6.4.2. Water Stress,Lao People's Democratic Republic,4.7718383312,E
SDG 6.4.2. Water Stress,Lebanon,58.7929915639,E
SDG 6.4.2. Water Stress,Lesotho,2.5659050967,E
SDG 6.4.2. Water Stress,Liberia,0.2643115942,E
SDG 6.4.2. Water Stress,Libya,817.1428571429,I
SDG 6.4.1. Services Water Use Efficiency,Liechtenstein,441.8708319005,E
SDG 6.4.2. Water Stress,Lithuania,1.8673395818,E
SDG 6.4.2. Water Stress,Luxembourg,3.7810945274,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Luxembourg,0.0,E
SDG 6.4.2. Water Stress,Malawi,17.5048380854,E
SDG 6.4.1. Water Use Efficiency,Malawi,3.1015137279,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Malawi,0.0349479925,E
SDG 6.4.1. Industrial Water Use Efficiency,Malawi,18.6501543033,E
SDG 6.4.1. Services Water Use Efficiency,Malawi,22.9054654543,E
SDG 6.4.2. Water Stress,Malaysia,3.4394871795,E
SDG 6.4.2. Water Stress,Maldives,15.6666666667,I
Environmental Flow Requirements,Mali,55.2,X
SDG 6.4.2. Water Stress,Mali,8.0030864198,E
SDG 6.4.2. Water Stress,Mauritania,13.2462173315,E
SDG 6.4.2. Water Stress,Mauritius,22.1737549982,E
SDG 6.4.2. Water Stress,Mexico,32.9497201674,E
SDG 6.4.2. Water Stress,Mongolia,3.3950073421,E
SDG 6.4.1. Water Use Efficiency,Montenegro,20.8489013122,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Montenegro,45.8515970898,E
SDG 6.4.1. Industrial Water Use Efficiency,Montenegro,7.5428117953,E
SDG 6.4.1. Services Water Use Efficiency,Montenegro,29.0762647855,E
SDG 6.4.2. Water Stress,Morocco,50.7512120194,E
SDG 6.4.2. Water Stress,Mozambique,1.7514863258,E
SDG 6.4.1. Water Use Efficiency,Mozambique,7.6199412205,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Mozambique,0.0587466503,E
SDG 6.4.1. Industrial Water Use Efficiency,Mozambique,144.8743808063,E
