,,Value,Symbol
Total area of the country (excl. coastal water),Afghanistan,65286.0,X
Cultivated area (arable land + permanent crops),Afghanistan,7910.0,X
Total population,Afghanistan,27100.536,X
Rural population,Afghanistan,20464.923,X
Urban population,Afghanistan,6151.869,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,0.7338,I
GDP per capita,Afghanistan,389.985586,X
Total area of the country (excl. coastal water),Albania,2875.0,X
Cultivated area (arable land + permanent crops),Albania,698.0,X
Total population,Albania,3033.998,X
Rural population,Albania,1545.166,X
Urban population,Albania,1478.741,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,0.3278,I
Gross Domestic Product (GDP),Albania,10677322220.0,X
GDP per capita,Albania,3530.969114,X
"Agriculture, value added (% GDP)",Albania,17.153623,X
Total area of the country (excl. coastal water),Algeria,238174.0,X
Cultivated area (arable land + permanent crops),Algeria,8390.0,X
Total population,Algeria,34166.972,X
Rural population,Algeria,11885.693,X
Urban population,Algeria,22414.383,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,0.5332,I
Gross Domestic Product (GDP),Algeria,134977088396.0,X
GDP per capita,Algeria,3935.183362,X
"Agriculture, value added (% GDP)",Algeria,7.570631,X
Total area of the country (excl. coastal water),Andorra,47.0,X
Cultivated area (arable land + permanent crops),Andorra,0.77,X
Total population,Andorra,82.684,X
Rural population,Andorra,8.84,X
Urban population,Andorra,73.843,X
GDP per capita,Andorra,48580.374532,X
Total area of the country (excl. coastal water),Angola,124670.0,X
Cultivated area (arable land + permanent crops),Angola,3690.0,X
Total population,Angola,20905.363,X
Rural population,Angola,8918.911,X
Urban population,Angola,12078.776,X
Gross Domestic Product (GDP),Angola,65266415707.0,X
GDP per capita,Angola,3108.266911,X
"Agriculture, value added (% GDP)",Angola,5.242278,X
Total area of the country (excl. coastal water),Antigua and Barbuda,44.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,5.0,X
Total population,Antigua and Barbuda,84.026,X
Rural population,Antigua and Barbuda,65.792,X
Urban population,Antigua and Barbuda,25.589,X
Gross Domestic Product (GDP),Antigua and Barbuda,1312759259.0,X
GDP per capita,Antigua and Barbuda,14365.779093,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,1.605891,X
Total area of the country (excl. coastal water),Argentina,278040.0,X
Total population,Argentina,39684.295,X
Rural population,Argentina,3850.764,X
Urban population,Argentina,36119.46,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,0.3822,I
Gross Domestic Product (GDP),Argentina,289755142707.0,X
GDP per capita,Argentina,7249.274928,X
"Agriculture, value added (% GDP)",Argentina,7.452354,X
Total area of the country (excl. coastal water),Armenia,2974.0,X
Cultivated area (arable land + permanent crops),Armenia,506.1,X
Total population,Armenia,2932.618,X
Rural population,Armenia,1063.546,X
Urban population,Armenia,1869.51,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,0.37,I
Gross Domestic Product (GDP),Armenia,9817806812.0,X
GDP per capita,Armenia,3347.296067,X
"Agriculture, value added (% GDP)",Armenia,17.094531,X
Total area of the country (excl. coastal water),Australia,774122.0,X
Cultivated area (arable land + permanent crops),Australia,23530.0,X
Total population,Australia,20916.344,X
Rural population,Australia,3179.302,X
Urban population,Australia,17767.362,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,0.137,I
Gross Domestic Product (GDP),Australia,985139395309.0,X
GDP per capita,Australia,47030.849175,X
"Agriculture, value added (% GDP)",Australia,2.33863,X
Total area of the country (excl. coastal water),Austria,8388.0,X
Cultivated area (arable land + permanent crops),Austria,1444.0,X
Total population,Austria,8313.737,X
Rural population,Austria,3470.218,X
Urban population,Austria,4841.565,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,0.1258,I
Gross Domestic Product (GDP),Austria,388671495783.0,X
GDP per capita,Austria,46761.506621,X
Total area of the country (excl. coastal water),Azerbaijan,8660.0,X
Cultivated area (arable land + permanent crops),Azerbaijan,2078.7,X
Total population,Azerbaijan,8724.243,X
Rural population,Azerbaijan,4118.78,X
Urban population,Azerbaijan,4605.524,X
Gross Domestic Product (GDP),Azerbaijan,33049426816.0,X
GDP per capita,Azerbaijan,3788.202109,X
Total area of the country (excl. coastal water),Bahamas,1388.0,X
Cultivated area (arable land + permanent crops),Bahamas,11.0,X
Total population,Bahamas,337.389,X
Rural population,Bahamas,60.587,X
Urban population,Bahamas,281.741,X
Gross Domestic Product (GDP),Bahamas,10618300000.0,X
GDP per capita,Bahamas,31017.912645,X
"Agriculture, value added (% GDP)",Bahamas,1.093395,X
Total area of the country (excl. coastal water),Bahrain,75.0,X
Cultivated area (arable land + permanent crops),Bahrain,4.4,X
Total population,Bahrain,1035.919,X
Rural population,Bahrain,119.256,X
Urban population,Bahrain,916.635,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bahrain,0.3128,I
Gross Domestic Product (GDP),Bahrain,21730012434.0,X
GDP per capita,Bahrain,20977.122529,X
"Agriculture, value added (% GDP)",Bahrain,0.292309,X
Total area of the country (excl. coastal water),Bangladesh,14846.0,X
Cultivated area (arable land + permanent crops),Bangladesh,8666.0,X
Total population,Bangladesh,142660.376,X
Rural population,Bangladesh,105592.037,X
Urban population,Bangladesh,41547.154,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bangladesh,0.5678,I
Gross Domestic Product (GDP),Bangladesh,79825872642.0,X
GDP per capita,Bangladesh,542.519448,X
"Agriculture, value added (% GDP)",Bangladesh,17.806539,X
Total area of the country (excl. coastal water),Barbados,43.0,X
Cultivated area (arable land + permanent crops),Barbados,14.0,X
Total population,Barbados,278.7,X
Rural population,Barbados,186.537,X
Urban population,Barbados,89.613,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Barbados,0.3522,I
Gross Domestic Product (GDP),Barbados,4674000000.0,X
GDP per capita,Barbados,16925.583922,X
Total area of the country (excl. coastal water),Belarus,20760.0,X
Cultivated area (arable land + permanent crops),Belarus,5640.0,X
Total population,Belarus,9480.515,X
Rural population,Belarus,2548.939,X
Urban population,Belarus,6987.925,X
Gross Domestic Product (GDP),Belarus,46807243743.0,X
GDP per capita,Belarus,4908.033054,X
"Agriculture, value added (% GDP)",Belarus,8.06409,X
Total area of the country (excl. coastal water),Belgium,3053.0,X
Cultivated area (arable land + permanent crops),Belgium,859.9,X
Total population,Belgium,10697.572,X
Rural population,Belgium,266.907,X
Urban population,Belgium,10430.928,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belgium,0.0996,I
Gross Domestic Product (GDP),Belgium,470300114626.0,X
GDP per capita,Belgium,43962.176891,X
"Agriculture, value added (% GDP)",Belgium,0.887524,X
Total area of the country (excl. coastal water),Belize,2297.0,X
Cultivated area (arable land + permanent crops),Belize,102.0,X
Total population,Belize,299.025,X
Rural population,Belize,163.292,X
Urban population,Belize,135.115,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belize,0.4742,I
Gross Domestic Product (GDP),Belize,1271599933.0,X
GDP per capita,Belize,4261.293912,X
"Agriculture, value added (% GDP)",Belize,11.703838,X
Total area of the country (excl. coastal water),Benin,11476.0,X
Cultivated area (arable land + permanent crops),Benin,2800.0,X
Total population,Benin,8454.793,X
Rural population,Benin,4941.169,X
Urban population,Benin,3513.622,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Benin,0.634,I
Gross Domestic Product (GDP),Benin,5969435195.0,X
GDP per capita,Benin,706.041722,X
"Agriculture, value added (% GDP)",Benin,24.275171,X
Total area of the country (excl. coastal water),Bhutan,3839.0,X
Cultivated area (arable land + permanent crops),Bhutan,156.0,X
Total population,Bhutan,664.876,X
Rural population,Bhutan,463.91,X
Urban population,Bhutan,223.048,X
Gross Domestic Product (GDP),Bhutan,1196090841.0,X
GDP per capita,Bhutan,1741.141149,X
Total area of the country (excl. coastal water),Bolivia (Plurinational State of),109858.0,X
Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),4390.0,X
Total population,Bolivia (Plurinational State of),9558.439,X
Rural population,Bolivia (Plurinational State of),3296.72,X
Urban population,Bolivia (Plurinational State of),6144.724,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bolivia (Plurinational State of),0.5164,I
Gross Domestic Product (GDP),Bolivia (Plurinational State of),13120084507.0,X
GDP per capita,Bolivia (Plurinational State of),1389.626895,X
"Agriculture, value added (% GDP)",Bolivia (Plurinational State of),10.011164,X
Total area of the country (excl. coastal water),Bosnia and Herzegovina,5121.0,X
Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,1117.0,X
Total population,Bosnia and Herzegovina,3762.786,X
Rural population,Bosnia and Herzegovina,2090.767,X
Urban population,Bosnia and Herzegovina,1683.233,X
Gross Domestic Product (GDP),Bosnia and Herzegovina,15778737138.0,X
GDP per capita,Bosnia and Herzegovina,4180.905442,X
"Agriculture, value added (% GDP)",Bosnia and Herzegovina,7.704953,X
Total area of the country (excl. coastal water),Botswana,58173.0,X
Cultivated area (arable land + permanent crops),Botswana,184.0,X
Total population,Botswana,1875.459,X
Rural population,Botswana,805.426,X
Urban population,Botswana,1108.988,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Botswana,0.5198,I
Gross Domestic Product (GDP),Botswana,10939025528.0,X
GDP per capita,Botswana,5714.033395,X
"Agriculture, value added (% GDP)",Botswana,2.240729,X
Total area of the country (excl. coastal water),Brazil,851577.0,X
Cultivated area (arable land + permanent crops),Brazil,60859.0,X
Total population,Brazil,190130.443,X
Rural population,Brazil,31618.718,X
Urban population,Brazil,159407.919,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Brazil,0.4622,I
Gross Domestic Product (GDP),Brazil,1397114247307.0,X
GDP per capita,Brazil,7313.714303,X
"Agriculture, value added (% GDP)",Brazil,4.416926,X
Total area of the country (excl. coastal water),Brunei Darussalam,577.0,X
Cultivated area (arable land + permanent crops),Brunei Darussalam,8.0,X
Total population,Brunei Darussalam,374.965,X
Rural population,Brunei Darussalam,97.871,X
Urban population,Brunei Darussalam,276.993,X
Gross Domestic Product (GDP),Brunei Darussalam,13570654027.0,X
GDP per capita,Brunei Darussalam,36201.539831,X
"Agriculture, value added (% GDP)",Brunei Darussalam,0.66532,X
Total area of the country (excl. coastal water),Bulgaria,11100.0,X
Cultivated area (arable land + permanent crops),Bulgaria,3274.0,X
Total population,Bulgaria,7576.672,X
Rural population,Bulgaria,2173.353,X
Urban population,Bulgaria,5393.596,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bulgaria,0.2252,I
Gross Domestic Product (GDP),Bulgaria,44403554809.0,X
GDP per capita,Bulgaria,5868.092253,X
"Agriculture, value added (% GDP)",Bulgaria,4.654644,X
Total area of the country (excl. coastal water),Burkina Faso,27422.0,X
Cultivated area (arable land + permanent crops),Burkina Faso,4970.0,X
Total population,Burkina Faso,14252.021,X
Rural population,Burkina Faso,10974.579,X
Urban population,Burkina Faso,3277.442,X
GDP per capita,Burkina Faso,534.351684,X
Total area of the country (excl. coastal water),Burundi,2783.0,X
